symbol,name,aum,avg_daily_volume
SPYV,State Street SPDR Portfolio S&P 500 Value ETF,"$36,400,900.00","2,469,663"
XLI,State Street Industrial Select Sector SPDR ETF,"$34,785,000.00","7,595,548"
IUSG,iShares Core S&P U.S. Growth ETF,"$33,640,900.00","534,694"
MGK,Vanguard Morningstar Mega Cap Growth ETF,"$33,523,600.00","1,632,102"
ACWI,iShares MSCI ACWI ETF,"$33,190,400.00","3,204,628"
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,"$32,862,700.00","28,045,182"
IDEV,iShares Core MSCI International Developed Markets ETF,"$32,249,300.00","1,420,050"
VXF,Vanguard Extended Market ETF,"$31,373,900.00","452,002"
VGK,Vanguard FTSE Europe ETF,"$30,879,700.00","2,569,944"
AVUV,Avantis U.S. Small Cap Value ETF,"$30,871,900.00","1,273,333"
VGSH,Vanguard Short-Term Treasury ETF,"$30,250,000.00","3,290,617"
EEM,iShares MSCI Emerging Markets ETF,"$30,059,700.00","28,554,412"
EFV,iShares MSCI EAFE Value ETF,"$29,913,000.00","5,034,814"
SLV,iShares Silver Trust,"$29,883,200.00","20,128,424"
JAAA,Janus Henderson AAA CLO ETF,"$29,758,100.00","5,136,986"
USHY,iShares Broad USD High Yield Corporate Bond ETF,"$29,047,300.00","11,193,283"
BIV,Vanguard Intermediate-Term Bond ETF,"$28,944,400.00","1,602,881"
GLDM,SPDR Gold Minishares Trust,"$28,797,200.00","3,820,155"
IUSV,iShares Core S&P U.S. Value ETF,"$27,678,200.00","629,600"
FBND,Fidelity Total Bond ETF,"$27,332,100.00","2,774,973"
